Count of Medal,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,14
Morocco,,,,,,,,,,,,,,,1,,,,,,2,3,3,,2,,5,,3,,2,,1,,1,23
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,2
Namibia,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,4
Nepal,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Netherlands,,6,,6,12,26,42,24,51,13,34,40,21,,5,33,23,15,20,10,41,52,37,4,73,11,79,8,77,13,58,11,69,29,47,990
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
New Zealand,,,,,,,1,1,1,2,1,,3,1,3,4,7,14,25,,23,24,16,,9,,4,,6,,15,,27,,36,223
Niger,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,2
Nigeria,,,,,,,,,,,,,,,,1,,1,,,5,,11,,24,,8,,8,,23,,,,18,99
North Korea,,,,,,,,,,,,,,,,1,,15,2,5,,,11,,5,,4,,5,,6,,6,,7,67
Norway,,9,2,25,42,55,78,31,20,10,35,28,21,7,9,15,28,25,16,15,19,33,47,30,23,40,43,41,7,23,22,39,17,36,19,910
Pakistan,,,,,,,,,,,,,,14,14,16,13,15,16,,16,1,16,,,,,,,,,,,,,121
Panama,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,3
Pandora,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,17
Peru,,,,,,,,,,,,1,,,,,,,,,1,12,1,,,,,,,,,,,,,15
Philippines,,,,,,,,,1,3,1,,,,,1,,,,,,1,1,,1,,,,,,,,,,1,10
Poland,,,,,,,,5,20,21,12,2,4,20,32,46,37,47,73,50,,21,46,,22,,24,2,12,2,20,8,12,11,16,565
Portugal,,,,,,,,4,6,,3,3,,,,,,,2,,3,1,,,3,,2,,3,,2,,2,,1,35
Puerto Rico,,,,,,,,,,,,1,,,,,,,1,,2,,1,,1,,,,,,,,2,,1,9
Qatar,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,2,,1,5
Romania,,,,,,,,16,,,1,,4,19,15,16,25,40,55,68,106,58,53,,38,,46,,39,,22,,16,,16,653
Russia,,,,,3,7,,,,,,,,,,,,,,,,,,36,115,52,187,38,189,41,142,25,140,68,115,1158
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,6
Scotland,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Senegal,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,16,,54,85
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,26,,25,,13,,,,,,,64
Singapore,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,4,,1,9
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,3,,6,,10,1,10,3,5,1,8,47
Slovenia,,,,,,,,,,,,,,,,,,,,,,,6,3,2,,3,4,5,,5,3,5,8,4,48
South Africa,,,,,2,7,21,3,6,5,1,6,14,7,3,,,,,,,,3,,5,,5,,10,,1,,9,,23,131
South Korea,,,,,,,,,,,,2,2,2,,3,2,1,17,,41,77,56,9,66,12,73,7,52,19,78,18,61,14,26,638
Soviet Union,,,,,,,,,,,,,117,206,209,221,229,259,342,496,56,366,,,,,,,,,,,,,,2501
Spain,,2,,,,,23,,3,1,,3,1,,14,,,2,6,24,19,5,70,,66,,42,,30,,70,,63,,45,489
Sri Lanka,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,2
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
Suriname,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2
Sweden,,1,,21,79,159,143,81,47,29,38,80,87,43,16,38,25,26,12,43,64,46,42,24,31,7,32,26,12,64,7,18,22,51,28,1442
Switzerland,3,15,3,12,,2,29,69,42,3,62,64,39,13,11,6,22,25,19,11,21,28,8,16,11,14,14,24,7,21,11,12,4,30,11,682
Syria,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,3
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,4
Tanzania,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2
